                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1822,                 3.7556,                 1.8676,                0.00205,                0.00491,                 0.0005,                0.00016,                 4.6234,                 6.7688,                  3.204,                 0.0005,                 0.0005,                 0.0005
                      2,                 1.8572,                 1.7437,                  1.578,                0.00204,                0.05832,                0.00111,                0.00045,                  4.899,                 8.4819,                 5.4642,              0.0010183,              0.0010183,              0.0010183
                      3,                 1.8645,                 1.6698,                 1.6012,                0.00034,                0.02026,                0.00028,                  4e-05,                 5.0023,                 6.2541,                 5.1252,              0.0015349,              0.0015349,              0.0015349
                      4,                  1.848,                 1.6197,                 1.5942,                0.00128,                0.02701,                0.00067,                0.00018,                 4.1619,                  5.874,                 3.5489,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.8486,                 1.6093,                  1.615,                0.00052,                0.02087,                0.00027,                  6e-05,                 4.4596,                  4.934,                  3.362,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.8025,                 1.5462,                 1.5808,                0.00676,                0.02271,                0.00148,                0.00036,                 3.7437,                  6.012,                  3.332,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.7752,                 1.5109,                  1.602,                0.00406,                0.05586,                0.00116,                 0.0003,                 4.2984,                 6.1383,                 3.4943,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.7951,                 1.5055,                 1.5922,                0.00327,                 0.0442,                0.00187,                0.00067,                 4.6654,                 6.3484,                 3.7976,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.7704,                 1.4644,                  1.551,                0.02532,                0.00737,                0.00183,                0.00065,                 3.7955,                 4.8559,                 3.7926,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.7089,                 1.3997,                 1.5235,                0.02532,                0.00737,                0.00183,                0.00065,                 5.2218,                 5.2178,                 3.3666,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.6685,                 1.3656,                 1.5036,                0.02532,                0.00737,                0.00183,                0.00065,                 5.2446,                 6.0529,                 4.0144,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.6604,                 1.3476,                 1.4945,                0.02532,                0.00737,                0.00183,                0.00065,                 5.7801,                 6.0011,                 4.2654,               0.001967,               0.001967,               0.001967
                     13,                 1.6422,                 1.3474,                 1.4922,                0.02532,                0.00737,                0.00183,                0.00065,                 4.8401,                 4.8187,                 2.9031,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.5782,                 1.2812,                 1.4527,                0.02532,                0.00737,                0.00183,                0.00065,                 5.0159,                 7.2522,                 3.6262,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.6171,                 1.2994,                 1.4876,                 0.0055,                0.00552,                 0.0044,                0.00178,                 4.5361,                 6.7985,                 3.6789,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.6203,                 1.2906,                 1.4808,                0.03684,                0.01228,                 0.0072,                0.00369,                 4.1439,                 6.3566,                 3.9205,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.5595,                 1.2459,                 1.4294,                0.03684,                0.01228,                 0.0072,                0.00369,                 6.0527,                 5.7616,                 5.0091,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.5833,                 1.2625,                 1.4491,                0.03684,                0.01228,                 0.0072,                0.00369,                 4.2965,                 6.5186,                 2.7156,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.5745,                 1.2488,                 1.4538,                  5e-05,                0.00307,                  3e-05,                  1e-05,                 4.9808,                 6.5771,                 3.7328,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.5293,                 1.1998,                 1.4368,                  5e-05,                0.00307,                  3e-05,                  1e-05,                 6.3178,                 6.2282,                  6.366,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.5574,                 1.2266,                 1.4494,                0.02655,                0.00184,                0.01337,                0.00624,                 4.7959,                 6.3218,                 4.5841,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.5117,                 1.2073,                 1.4176,                0.02655,                0.00184,                0.01337,                0.00624,                   3.63,                 6.4208,                 2.6241,               0.001934,               0.001934,               0.001934
                     23,                 1.5376,                 1.1944,                 1.4049,                0.02655,                0.00184,                0.01337,                0.00624,                 5.2846,                  6.186,                 5.1994,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.5227,                 1.2018,                 1.4069,                0.02787,                0.01473,                0.01432,                0.00503,                 4.9361,                 6.3893,                 5.0512,              0.0019274,              0.0019274,              0.0019274
                     25,                  1.464,                 1.1647,                 1.3881,                  1e-05,                0.00061,                  1e-05,                      0,                 5.3953,                 6.7978,                 3.0564,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.5075,                 1.1958,                 1.3929,                  1e-05,                0.00061,                  1e-05,                      0,                 5.5664,                 6.4874,                 6.1343,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.5193,                 1.1643,                 1.4029,                0.14123,                0.01534,                0.01478,                0.00707,                    3.6,                 6.2505,                 3.0316,              0.0019175,              0.0019175,              0.0019175
                     28,                  1.489,                 1.1471,                 1.3828,                0.14123,                0.01534,                0.01478,                0.00707,                 5.3561,                 6.1102,                 4.7684,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.4383,                 1.1223,                 1.3613,                 0.0007,                0.00123,                  3e-05,                  1e-05,                  4.749,                 7.2493,                  4.501,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.4595,                 1.1095,                 1.3654,                  1e-05,                0.00061,                  1e-05,                      0,                 4.6742,                 5.4407,                 2.7015,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.4975,                 1.1146,                 1.3772,                0.01541,                0.01228,                0.00797,                0.00236,                  4.298,                 5.9722,                 3.5971,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.4683,                 1.1075,                 1.3637,                 0.0302,                0.01044,                0.01529,                0.00398,                  3.774,                 6.2402,                 3.5456,               0.001901,               0.001901,               0.001901
                     33,                 1.4637,                 1.1055,                 1.3645,                 0.0302,                0.01044,                0.01529,                0.00398,                 5.0819,                 7.3708,                 4.0947,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.4423,                 1.0889,                 1.3555,                0.00024,                0.00246,                0.00137,                0.00082,                  4.551,                 6.0319,                 3.2545,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.4327,                 1.0828,                 1.3538,                0.00024,                0.00246,                0.00137,                0.00082,                 4.5423,                  7.603,                 2.7359,              0.0018911,              0.0018911,              0.0018911
