                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9386,                 2.5647,                 1.6016,                 0.1551,                0.26826,                 0.0836,                0.03121,                 2.3108,                 3.0529,                 1.6974,                 0.0005,                 0.0005,                 0.0005
                      2,                 1.6912,                 1.3716,                 1.4434,                0.17694,                0.12216,                0.05621,                0.01301,                 3.6384,                 3.1978,                 2.3689,              0.0010183,              0.0010183,              0.0010183
                      3,                 1.6986,                 1.3476,                 1.4827,                0.00401,                0.03254,                0.00118,                0.00043,                 4.4375,                    inf,                 5.1521,              0.0015349,              0.0015349,              0.0015349
                      4,                 1.7081,                 1.3505,                 1.4847,                0.24787,                0.18048,                0.13442,                0.03877,                 2.6973,                 3.8861,                 2.1981,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.7067,                  1.361,                 1.5164,                0.00086,                0.05034,                0.00047,                0.00014,                 4.6562,                 4.4281,                 4.4036,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.6591,                 1.3063,                 1.4789,                0.00428,                0.00246,                0.00032,                0.00011,                 4.6857,                 6.6738,                  3.575,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.6196,                 1.2556,                 1.4543,                0.01559,                0.00123,                0.00141,                0.00074,                 4.4558,                 4.7476,                  3.439,              0.0019835,              0.0019835,              0.0019835
                      8,                  1.622,                 1.2099,                 1.4329,                0.00323,                0.17495,                0.00241,                 0.0007,                 4.1482,                 5.3896,                 2.9804,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.5689,                 1.1995,                 1.3975,                 0.0405,                 0.0399,                0.01491,                0.00731,                 4.1343,                  3.998,                  2.336,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.5172,                 1.1631,                 1.3805,                0.18458,                0.20688,                0.13863,                0.05409,                 2.6317,                 2.6779,                 1.9921,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.5127,                 1.1058,                 1.3617,                0.08832,                0.07121,                0.02473,                0.00727,                 3.6842,                 3.5224,                 2.5097,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.4857,                 1.1143,                  1.355,                0.07214,                0.08594,                0.03343,                0.01164,                 3.6319,                 3.2032,                 2.6694,               0.001967,               0.001967,               0.001967
                     13,                 1.4856,                 1.1088,                 1.3672,                0.05344,                 0.0221,                0.00629,                0.00221,                 4.2776,                 4.2157,                 2.8627,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.4493,                 1.0729,                 1.3295,                0.07345,                0.10866,                0.03294,                0.00964,                 3.2883,                 3.4283,                 2.5469,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.4166,                  1.042,                 1.3217,                0.15177,                0.22897,                0.08643,                0.02755,                 2.7148,                 2.6501,                 2.2046,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.4281,                 1.0495,                 1.3314,                0.02802,                0.12953,                0.01777,                 0.0062,                 3.5404,                 4.6739,                 2.9449,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.3874,                 1.0402,                 1.2935,                 0.3208,                0.29633,                0.23307,                0.08607,                 2.3707,                 3.0905,                 1.8716,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.3691,                 1.0069,                 1.2784,                0.13026,                0.21363,                0.08415,                0.02419,                 3.1057,                 2.3993,                 2.3264,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.3856,                0.98342,                 1.2968,                 0.1522,                0.30632,                0.11075,                0.03551,                 2.7567,                 2.2919,                 1.9981,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.3189,                0.96204,                 1.2792,                0.13997,                0.19951,                 0.0741,                0.02075,                 3.1818,                 2.9097,                 2.5297,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.3285,                0.97364,                 1.2815,                0.34696,                0.37139,                0.25781,                0.09521,                 2.2532,                 1.9124,                 1.8154,              0.0019373,              0.0019373,              0.0019373
                     22,                  1.333,                0.96403,                  1.266,                0.21048,                0.16329,                 0.1129,                0.03587,                 2.8549,                 2.4835,                 2.2184,               0.001934,               0.001934,               0.001934
                     23,                 1.3381,                0.95779,                 1.2747,                0.30509,                0.35359,                0.29509,                0.08891,                  2.538,                 2.0777,                 1.8941,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.3092,                0.94821,                  1.261,                0.31651,                0.22591,                0.19366,                0.06377,                 2.6647,                 2.0789,                 1.9635,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.3077,                0.91631,                  1.259,                0.28631,                0.29711,                0.23627,                0.08102,                 2.4876,                 2.1334,                 1.9777,              0.0019241,              0.0019241,              0.0019241
                     26,                  1.359,                0.95311,                 1.2745,                0.40275,                0.33517,                0.28034,                 0.1069,                  2.337,                 1.8519,                 1.7607,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.3314,                 0.9332,                 1.2685,                0.36106,                0.28729,                0.26846,                0.09533,                 2.4462,                 2.3449,                 1.8185,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.2914,                0.90577,                 1.2346,                0.49789,                0.39566,                0.38605,                0.15494,                 2.1214,                 1.5802,                 1.6454,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.2974,                0.91038,                 1.2542,                 0.5087,                0.34991,                 0.3725,                0.13905,                  2.262,                 1.7946,                 1.6586,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.2662,                0.88417,                 1.2324,                0.46019,                0.25967,                0.27187,                0.10399,                 2.5431,                 1.6804,                 1.9059,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.2686,                0.87721,                 1.2199,                0.47012,                0.37753,                0.37984,                0.17323,                 2.0806,                 1.4936,                 1.6359,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.2207,                0.85172,                 1.2131,                0.55934,                0.45365,                0.45984,                0.20273,                 1.9998,                 1.4503,                 1.5579,               0.001901,               0.001901,               0.001901
                     33,                 1.2308,                0.85726,                 1.2167,                0.49519,                0.37078,                0.37545,                0.16543,                 1.9876,                 1.7107,                  1.563,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.1986,                0.83906,                 1.1919,                0.44196,                0.37508,                0.35028,                0.14425,                 2.1382,                 1.6801,                 1.6859,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.2315,                0.83675,                 1.2088,                0.37764,                0.32781,                0.29122,                0.11192,                 2.3137,                  1.941,                 1.8192,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.2448,                0.82886,                 1.2183,                 0.5367,                0.43094,                0.44941,                0.19394,                 2.0091,                 1.4104,                 1.5743,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.2138,                0.82298,                  1.198,                0.53709,                0.42591,                0.42699,                0.19857,                 1.9439,                 1.5179,                 1.5453,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.1801,                0.79707,                 1.1857,                0.50596,                0.48803,                0.45931,                0.20247,                 1.9668,                 1.4464,                 1.5472,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.1882,                0.81733,                 1.1891,                0.49201,                0.43462,                0.41986,                0.17514,                 2.1842,                 1.5147,                 1.6841,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.1836,                0.79548,                 1.1874,                0.29798,                0.24155,                 0.1982,                0.07549,                 2.5465,                 2.3054,                 1.8615,              0.0018746,              0.0018746,              0.0018746
                     41,                  1.205,                0.80752,                 1.2004,                0.45733,                0.36955,                0.35005,                0.13985,                 2.1921,                 1.6253,                 1.6615,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.1755,                 0.7942,                  1.175,                0.53177,                0.39779,                0.38502,                0.13098,                 2.4117,                 1.6284,                 1.7665,               0.001868,               0.001868,               0.001868
                     43,                 1.1903,                 0.8029,                 1.1905,                0.17288,                0.23389,                0.10354,                0.02547,                 2.8993,                 2.5856,                 2.4149,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.1929,                0.78881,                 1.1766,                0.51198,                0.40315,                0.41949,                0.18452,                 2.0002,                 1.7889,                 1.5801,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.1496,                0.77173,                 1.1655,                0.21735,                0.19091,                 0.1234,                0.03299,                 2.8741,                 2.3514,                 2.0943,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.1283,                0.75513,                 1.1587,                0.25301,                0.21793,                0.14781,                0.05265,                  2.866,                 2.1324,                 2.1117,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.1476,                0.76988,                 1.1773,                 0.3544,                0.38551,                0.30015,                0.12704,                 2.1559,                 1.7131,                 1.6593,              0.0018515,              0.0018515,              0.0018515
                     48,                  1.112,                0.75543,                 1.1359,                0.64635,                0.43831,                0.50192,                0.22983,                 2.0133,                 1.2823,                 1.5724,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.1405,                0.77574,                 1.1542,                0.63274,                 0.4291,                0.49587,                0.21169,                 2.0051,                  1.363,                 1.5564,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.1396,                0.75241,                 1.1577,                0.33202,                0.29896,                0.25729,                 0.0949,                 2.4058,                 2.0076,                 1.8898,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.1205,                0.75372,                  1.155,                0.28282,                0.35912,                0.22196,                0.09087,                 2.2001,                 2.1168,                 1.6603,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.1056,                0.74175,                 1.1463,                0.58455,                0.46347,                0.50168,                0.23553,                 1.9084,                 1.2861,                 1.4837,               0.001835,               0.001835,               0.001835
                     53,                 1.1468,                0.76077,                 1.1599,                0.60452,                0.45734,                0.48945,                0.23142,                 1.9757,                 1.3459,                 1.5285,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.1228,                0.73268,                 1.1451,                0.56513,                 0.4512,                 0.4737,                 0.2239,                  1.925,                 1.3939,                  1.506,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.0932,                0.72085,                  1.138,                0.57344,                0.41346,                0.44742,                0.20085,                 1.9692,                 1.4857,                 1.5531,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.0944,                0.71887,                 1.1362,                0.45375,                0.34991,                0.31412,                0.11365,                 2.3836,                 1.7823,                 1.8176,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.0794,                0.71971,                 1.1289,                0.15445,                0.23189,                0.10417,                0.03333,                  2.665,                 2.9307,                  2.041,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.1027,                0.71617,                 1.1403,                0.44439,                0.32474,                0.33069,                0.13067,                 2.3503,                 1.7822,                  1.727,              0.0018152,              0.0018152,              0.0018152
