                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.894,                 2.3918,                 1.5781,                0.04207,                0.47268,                0.03151,                0.01162,                 2.2802,                 22.501,                 1.7044,                0.00054,                0.00054,                0.00054
                      2,                 1.6681,                 1.3636,                 1.4449,                0.00211,                0.08778,                0.00116,                0.00035,                 3.9201,                 60.007,                 2.8079,              0.0010982,              0.0010982,              0.0010982
                      3,                 1.6915,                 1.3387,                 1.4824,                0.03871,                0.08165,                0.00993,                0.00221,                 3.9035,                 4.0029,                 3.7408,              0.0016545,              0.0016545,              0.0016545
                      4,                 1.6801,                 1.3529,                 1.4824,                0.00357,                0.01105,                0.00025,                  7e-05,                 4.8064,                 10.694,                 5.6457,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.6952,                 1.3747,                 1.4938,                0.00459,                0.00307,                0.00095,                0.00024,                 4.4392,                 5.1216,                 3.2157,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.6383,                 1.2816,                 1.4498,                0.03358,                0.07366,                0.00974,                 0.0019,                  4.027,                 5.8184,                 2.9854,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.5975,                 1.2702,                 1.4329,                0.17894,                0.21301,                0.11804,                0.03367,                 2.9843,                 2.8079,                 2.0143,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.6029,                 1.2149,                 1.4479,                0.01611,                0.03069,                0.00221,                0.00063,                 3.7845,                 4.9461,                 2.9666,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.5332,                 1.1593,                 1.3904,                 0.3338,                0.29343,                0.24315,                0.07993,                 2.4983,                 2.2963,                 1.9346,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.5161,                 1.1568,                 1.3721,                0.04155,                0.00614,                 0.0038,                0.00182,                 3.9288,                 6.9867,                 3.3237,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.5219,                 1.1507,                 1.3768,                0.01557,                0.02026,                0.00381,                0.00148,                 4.3036,                 4.1207,                 2.6381,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.4544,                 1.0647,                 1.3365,                0.06817,                0.11909,                0.03618,                0.01202,                 3.4777,                 4.0625,                  2.472,               0.001967,               0.001967,               0.001967
                     13,                 1.5055,                 1.0807,                 1.3755,                0.00846,                0.02149,                0.00938,                0.00377,                   3.69,                 5.5213,                  2.592,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.4147,                 1.0349,                 1.3144,                0.06173,                0.17802,                0.05226,                0.01803,                 3.3104,                 4.5472,                 2.3801,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.4937,                 1.0989,                 1.3594,                0.17956,                0.25526,                0.11297,                0.03199,                 2.7524,                 2.5854,                 2.1313,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.4066,                  1.034,                 1.3252,                0.33264,                0.24494,                0.22826,                0.07513,                 2.5459,                 2.1255,                 1.8927,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.4207,                  1.034,                 1.3098,                0.46293,                0.39411,                 0.3688,                0.14121,                 2.2146,                 1.6334,                 1.7083,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.4095,                 1.0244,                 1.3031,                 0.1268,                0.17495,                0.06418,                0.01973,                 3.1016,                 2.8808,                 2.2258,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.4534,                 1.0082,                 1.3307,                 0.1819,                0.22959,                0.12411,                0.04441,                 2.7127,                 2.5035,                 1.8693,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.3396,                0.98564,                 1.2788,                 0.3982,                0.32597,                0.28043,                0.10162,                 2.3484,                 1.8034,                 1.7726,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.3948,                0.97579,                 1.2928,                0.43421,                0.34009,                0.33191,                0.11407,                 2.3788,                 1.8908,                  1.754,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.3676,                0.96769,                 1.3035,                0.12888,                0.18478,                0.09518,                0.03155,                 2.9625,                  2.489,                 2.1698,               0.001934,               0.001934,               0.001934
                     23,                 1.3613,                0.96726,                 1.2769,                0.14154,                0.25107,                0.11796,                 0.0331,                 2.8736,                 2.3687,                  2.141,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.3206,                0.94733,                 1.2738,                0.27325,                0.22959,                0.19233,                0.06531,                  2.522,                 2.2634,                 1.8508,              0.0019274,              0.0019274,              0.0019274
                     25,                  1.284,                 0.9256,                 1.2562,                0.03215,                 0.0485,                0.01606,                0.00274,                 4.0506,                 3.2672,                 3.0543,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.3494,                0.93671,                  1.273,                0.19066,                 0.1283,                0.08122,                0.03225,                 3.0154,                  2.737,                  2.193,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.2935,                0.90166,                 1.2414,                0.41785,                0.27133,                0.27798,                0.10415,                 2.3503,                 1.8315,                 1.7252,              0.0019175,              0.0019175,              0.0019175
