                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0448,                  3.191,                 1.7537,                0.00474,                0.27993,                0.00814,                0.00255,                 2.8536,                 4.3133,                 2.0625,                 0.0005,                 0.0005,                 0.0005
                      2,                 1.7987,                 1.6036,                 1.5488,                0.11094,                0.09638,                0.03044,                 0.0103,                 3.2902,                 9.3734,                 2.9446,              0.0010183,              0.0010183,              0.0010183
                      3,                 1.7664,                 1.4745,                 1.5722,                0.02869,                0.09331,                0.01049,                 0.0028,                  3.318,                 22.364,                  4.463,              0.0015349,              0.0015349,              0.0015349
                      4,                  1.744,                 1.4568,                 1.5514,                0.02191,                0.14979,                0.01077,                0.00332,                 3.1374,                 14.106,                 2.7965,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.7618,                 1.5003,                 1.6047,                0.00278,                  0.062,                0.00108,                 0.0004,                 3.5735,                    inf,                 3.5173,              0.0019901,              0.0019901,              0.0019901
                      6,                  1.699,                 1.4019,                 1.5657,                0.09223,                0.04236,                0.01391,                  0.006,                 3.2682,                 8.1334,                 2.7548,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.7056,                 1.3846,                  1.555,                 0.0411,                0.00061,                0.00076,                 0.0004,                 4.6802,                 5.6104,                 3.9371,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.6725,                 1.3217,                 1.5104,                0.02248,                0.01044,                0.00246,                0.00102,                 3.6667,                 7.3102,                 3.2918,              0.0019802,              0.0019802,              0.0019802
                      9,                  1.706,                 1.3078,                 1.5311,                0.07193,                0.01719,                0.00792,                0.00289,                 3.4315,                 5.0603,                  2.791,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.6334,                 1.2846,                 1.4978,                0.03364,                0.02333,                0.00383,                0.00155,                 3.3854,                 4.8671,                 2.6168,              0.0019736,              0.0019736,              0.0019736
                     11,                  1.549,                 1.2251,                 1.4452,                0.16518,                0.19214,                0.09394,                0.02291,                 3.0966,                 2.8378,                 2.6306,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.5523,                 1.1976,                 1.4374,                0.05712,                0.02026,                0.00683,                0.00168,                 4.2877,                 4.1176,                 4.1683,               0.001967,               0.001967,               0.001967
                     13,                 1.5533,                 1.1866,                 1.4379,                0.26738,                0.17066,                0.13909,                0.04323,                 2.8538,                 2.7514,                 2.3004,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.4989,                 1.1463,                 1.4116,                0.03535,                0.07121,                  0.011,                 0.0034,                 3.3579,                 4.5998,                 2.5829,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.5181,                 1.1669,                 1.4307,                0.33856,                 0.2011,                0.15673,                0.04625,                 2.9822,                 2.6628,                 2.4715,              0.0019571,              0.0019571,              0.0019571
                     16,                  1.546,                 1.1401,                  1.445,                  0.133,                0.11664,                0.04503,                0.01307,                 2.9595,                 3.4989,                 2.4195,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.4775,                 1.1022,                 1.3911,                0.08347,                 0.0178,                0.01622,                0.00448,                 3.3305,                 3.8608,                 2.6661,              0.0019505,              0.0019505,              0.0019505
                     18,                  1.493,                 1.1033,                 1.3968,                0.16946,                0.02818,                0.02502,                0.00629,                 3.5999,                 3.9672,                 3.0564,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.4837,                 1.0888,                 1.4139,                0.13391,                0.08778,                 0.0435,                0.00971,                 3.4758,                 3.9809,                  2.925,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.4286,                 1.0453,                 1.3806,                0.36297,                0.22345,                0.15778,                 0.0701,                 2.5289,                 2.7616,                 1.9462,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.4407,                 1.0692,                 1.3847,                0.17147,                0.07305,                0.06109,                0.02171,                 2.9116,                 3.5112,                 2.3569,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.4215,                  1.051,                 1.3676,                0.25868,                0.13996,                0.11635,                0.05059,                 2.6582,                  2.916,                 2.1591,               0.001934,               0.001934,               0.001934
                     23,                 1.4061,                 1.0221,                  1.345,                0.14573,                0.09761,                0.05364,                0.01301,                 3.3718,                 3.3502,                 2.8311,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.3819,                 1.0033,                 1.3304,                0.48017,                0.30755,                0.31167,                0.08629,                 2.8482,                 1.8825,                 2.1914,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.3943,                 1.0155,                  1.351,                0.01454,                0.27256,                0.01669,                0.00462,                 2.9874,                 3.5739,                 2.5707,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.4008,                 1.0227,                 1.3443,                0.01191,                0.07489,                 0.0105,                0.00373,                 3.3642,                 5.0432,                 3.2517,              0.0019208,              0.0019208,              0.0019208
                     27,                  1.397,                 0.9948,                 1.3406,                0.39385,                0.14979,                0.14477,                0.07242,                 2.4719,                 3.3444,                 1.9658,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.4008,                 1.0017,                 1.3233,                0.10304,                 0.0485,                0.02193,                0.00857,                 3.5467,                 4.6213,                 3.0986,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.3328,                0.97183,                 1.3101,                0.22151,                0.07366,                0.04471,                0.01444,                 3.1014,                  4.283,                 2.4664,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.3503,                0.95636,                 1.3135,                0.41256,                0.34622,                0.31593,                0.14503,                 2.1319,                 1.8332,                 1.6986,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.3676,                0.93876,                 1.3115,                 0.5097,                0.27686,                0.29304,                0.13907,                 2.1493,                 1.9253,                 1.7227,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.3589,                0.93909,                 1.3136,                0.20943,                0.12584,                0.08804,                 0.0275,                 3.1602,                 3.3858,                 2.5306,               0.001901,               0.001901,               0.001901
                     33,                 1.3566,                0.95174,                 1.3084,                0.55662,                0.36376,                0.36279,                0.13648,                 2.3868,                 1.6585,                 1.8533,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.3331,                0.91592,                 1.2993,                 0.5402,                0.36157,                0.36948,                0.16096,                 2.2223,                 1.7001,                 1.7444,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.3582,                0.92756,                 1.3177,                0.21994,                0.16452,                0.09581,                0.03574,                 2.7489,                 3.0385,                 2.2417,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.3316,                0.92929,                  1.303,                0.44896,                0.21257,                0.23302,                0.11103,                 2.3443,                 2.9104,                  1.857,              0.0018878,              0.0018878,              0.0018878
                     37,                  1.314,                 0.9146,                 1.2904,                0.24462,                0.11295,                0.07453,                0.03644,                 2.7767,                 3.8866,                 2.2067,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.2771,                 0.8881,                 1.2684,                0.37376,                0.17925,                0.16255,                0.06873,                 2.6249,                 3.1509,                 2.1117,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.3095,                0.90982,                 1.2857,                0.28227,                0.10681,                0.09547,                0.04229,                 2.6813,                 4.1869,                 2.1612,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.2709,                0.85056,                 1.2576,                0.50272,                 0.3051,                0.32524,                0.15306,                 2.2078,                 1.7419,                 1.7793,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.2971,                0.89727,                 1.2916,                0.07859,                0.02026,                0.01564,                0.00797,                 4.2885,                 5.9755,                 4.2633,              0.0018713,              0.0018713,              0.0018713
                     42,                  1.301,                0.89461,                 1.2762,                0.20798,                0.02026,                0.02201,                0.01144,                 3.8665,                 5.6072,                 3.0668,               0.001868,               0.001868,               0.001868
                     43,                 1.2541,                0.84474,                 1.2499,                0.25722,                0.07612,                 0.0656,                0.02028,                 2.9211,                 4.4059,                 2.3157,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.2755,                0.86738,                 1.2457,                0.24795,                0.06875,                0.06492,                0.02002,                  3.309,                 4.2551,                 2.6901,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.2643,                0.85419,                 1.2532,                 0.5499,                0.35605,                0.35061,                0.14157,                 2.4005,                 1.7137,                 1.9436,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.2353,                0.84461,                 1.2366,                0.43769,                0.22345,                 0.2209,                0.08365,                  2.701,                 2.5071,                 2.1552,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.2364,                0.83243,                 1.2419,                0.45529,                 0.2124,                0.22714,                0.10839,                 2.3026,                 2.8457,                 1.8379,              0.0018515,              0.0018515,              0.0018515
                     48,                 1.2547,                0.85102,                 1.2333,                0.59406,                0.33599,                0.36775,                 0.1739,                 2.1382,                 1.7125,                 1.6993,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.2451,                0.82927,                 1.2347,                 0.4916,                0.31737,                0.29541,                0.11607,                 2.3658,                 1.9461,                 1.8987,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.2468,                0.83505,                 1.2424,                0.00412,                0.02578,                0.00253,                0.00086,                 3.7438,                 6.2345,                  2.609,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.2355,                0.83424,                 1.2386,                0.12168,                0.06259,                0.03761,                0.00809,                 3.3291,                 3.8767,                 3.0232,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.2144,                0.82081,                 1.2304,                0.27031,                0.18232,                0.14234,                0.03229,                 3.2069,                 2.7382,                 2.5302,               0.001835,               0.001835,               0.001835
                     53,                 1.2122,                0.81423,                 1.2216,                0.53029,                0.36096,                0.37093,                 0.1454,                 2.3572,                 1.6557,                 1.8787,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.2186,                0.79612,                 1.2199,                0.46071,                0.26826,                0.25686,                0.11372,                 2.3228,                 2.2148,                 1.8436,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.2032,                0.80344,                  1.221,                0.53759,                0.32904,                 0.3376,                0.13185,                  2.482,                 1.6966,                 1.9485,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.2187,                0.80605,                 1.2178,                0.24675,                0.10681,                0.08875,                 0.0275,                 3.1285,                 3.7898,                 2.5177,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.1925,                0.80146,                 1.2122,                0.46916,                0.26888,                0.26952,                0.12239,                 2.3998,                 2.0699,                 1.9408,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.2109,                0.79638,                 1.2186,                 0.5829,                0.30018,                0.33786,                0.14507,                 2.2445,                 1.7313,                 1.7744,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.2385,                0.80378,                 1.2343,                0.40639,                0.17495,                0.15808,                0.07847,                  2.394,                   3.02,                 1.8803,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.1648,                0.76472,                 1.1862,                0.46182,                0.28361,                 0.2812,                0.09512,                 2.7181,                 2.1986,                 2.0653,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.1989,                0.76217,                 1.1908,                0.55868,                0.34438,                0.36197,                0.14185,                 2.4734,                 1.7107,                 1.9165,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.2175,                0.78263,                 1.2142,                 0.4626,                0.18653,                0.18628,                0.08841,                 2.3828,                 2.7841,                 1.9162,               0.001802,               0.001802,               0.001802
                     63,                 1.1841,                0.78122,                 1.2182,                0.27375,                0.14672,                0.10895,                0.03565,                 3.1663,                 3.2724,                 2.4931,              0.0017987,              0.0017987,              0.0017987
                     64,                 1.1724,                0.78127,                 1.2013,                0.16953,                 0.0577,                0.03926,                0.01075,                 3.5464,                 3.8758,                 3.0188,              0.0017954,              0.0017954,              0.0017954
                     65,                 1.1399,                0.75108,                  1.176,                 0.3777,                0.25149,                0.22703,                0.07405,                 2.7469,                 2.4494,                  2.187,              0.0017921,              0.0017921,              0.0017921
                     66,                  1.185,                0.77646,                 1.2158,                0.43921,                0.19521,                0.20438,                0.09628,                 2.4642,                 3.0108,                 1.9832,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.1554,                 0.7627,                 1.1937,                0.43191,                0.12707,                0.12808,                0.06291,                 2.7241,                 3.3418,                 2.3059,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.1703,                0.75256,                 1.1923,                0.56389,                0.23082,                0.23628,                0.10654,                 2.5122,                 2.4829,                 2.0022,              0.0017822,              0.0017822,              0.0017822
                     69,                 1.1631,                 0.7358,                 1.1908,                 0.4823,                0.31246,                0.30774,                0.12842,                 2.3974,                 1.8654,                 1.8643,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.1556,                0.73918,                 1.1885,                0.34222,                0.18785,                0.17305,                0.07334,                 2.6016,                 2.7094,                 2.0005,              0.0017756,              0.0017756,              0.0017756
                     71,                 1.1344,                0.71438,                 1.1619,                0.51151,                0.26335,                0.27722,                0.11559,                 2.4872,                  1.932,                 1.9771,              0.0017723,              0.0017723,              0.0017723
                     72,                 1.1393,                0.73357,                 1.1727,                0.61514,                0.39411,                0.41427,                0.18557,                 2.1972,                 1.5152,                 1.7894,               0.001769,               0.001769,               0.001769
                     73,                 1.1473,                0.74047,                 1.1822,                0.34545,                0.15531,                0.14203,                0.05457,                  2.824,                 3.6472,                 2.3131,              0.0017657,              0.0017657,              0.0017657
