                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8659,                 2.4169,                 1.5588,                0.24587,                0.20381,                 0.1223,                0.03584,                 2.5688,                 2.4661,                 1.8339,                0.00062,                0.00062,                0.00062
                      2,                 1.7064,                 1.4276,                 1.4593,                0.26438,                0.14979,                0.11648,                0.04601,                  2.513,                 7.7126,                 1.9883,              0.0012579,              0.0012579,              0.0012579
                      3,                 1.7113,                 1.4369,                 1.5043,                0.01766,                 0.0841,                0.01007,                0.00419,                  2.375,                    inf,                 2.0158,              0.0018937,              0.0018937,              0.0018937
                      4,                 1.7394,                  1.382,                  1.508,                0.20944,                0.23327,                0.10561,                0.03826,                 2.5906,                 3.4211,                 2.1501,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.6361,                  1.262,                 1.4633,                0.07706,                0.22284,                0.05454,                0.01802,                 2.7104,                  6.749,                  2.186,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.6528,                 1.2456,                 1.4326,                0.32714,                0.33026,                0.25116,                0.08964,                 2.3771,                 1.9123,                 1.7849,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.5801,                 1.2051,                  1.416,                0.10731,                0.13505,                0.06598,                0.02307,                 2.9229,                 3.3146,                 2.3553,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.4986,                 1.1358,                 1.3805,                0.40813,                 0.1363,                0.11891,                 0.0471,                 2.5621,                 3.5616,                 1.8243,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.5394,                 1.1756,                 1.3914,                0.34787,                0.41817,                0.28896,                0.11568,                 2.1209,                 1.8161,                 1.6647,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.4727,                 1.1219,                 1.3696,                0.44815,                0.35359,                0.35689,                0.13036,                 2.3289,                 1.7517,                 1.8282,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.4779,                 1.0947,                 1.3477,                0.48397,                0.33026,                0.32495,                0.11569,                 2.4043,                 1.9716,                 1.7989,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.4698,                 1.1076,                 1.3471,                0.45303,                0.33456,                0.34164,                0.11923,                 2.3301,                 1.8175,                 1.7717,               0.001967,               0.001967,               0.001967
                     13,                 1.4281,                 1.0554,                 1.3373,                0.43174,                0.33272,                0.31245,                0.12035,                 2.2698,                 1.9379,                 1.7581,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.4373,                 1.0531,                 1.3187,                0.48628,                0.39514,                0.39578,                0.16118,                  2.152,                 1.5626,                 1.6887,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.4019,                 1.0254,                 1.2983,                0.39583,                0.37999,                0.30752,                0.10979,                  2.394,                 1.7576,                 1.7873,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.4366,                 1.0041,                 1.3162,                0.42659,                0.27563,                0.27984,                0.08974,                 2.6986,                  2.648,                 2.0124,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.3866,                0.96724,                 1.2857,                0.44698,                0.37017,                0.38273,                0.15539,                 2.2796,                 1.9432,                  1.671,              0.0019505,              0.0019505,              0.0019505
                     18,                  1.363,                0.97917,                 1.2836,                0.31303,                0.24432,                0.19573,                0.07113,                 2.4964,                 2.5553,                 1.7953,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.3723,                0.97492,                 1.2829,                0.46406,                0.41743,                0.39608,                0.15435,                 2.1624,                 1.6007,                 1.6408,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.3427,                0.96606,                  1.268,                0.50688,                0.41068,                0.39469,                 0.1543,                 2.2508,                 1.5625,                 1.7394,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.3204,                0.96619,                 1.2591,                0.43511,                0.35114,                0.30946,                0.11238,                  2.357,                 1.8646,                 1.7922,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.3278,                0.94159,                 1.2625,                0.27178,                0.32228,                0.20824,                0.07259,                 2.4971,                 2.3823,                 1.9342,               0.001934,               0.001934,               0.001934
                     23,                 1.2895,                0.90422,                  1.238,                0.30297,                0.17004,                0.16857,                0.05797,                 2.6842,                 3.4726,                   2.05,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.3279,                0.94119,                  1.259,                0.37492,                0.35236,                0.30156,                0.10074,                 2.4355,                 1.8784,                 1.8447,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.2927,                0.89567,                 1.2454,                0.34674,                0.40086,                0.28795,                0.09717,                 2.5147,                  1.952,                 1.8603,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.2638,                0.89092,                 1.2285,                0.39467,                0.34807,                0.33219,                0.13988,                 2.2298,                 1.7689,                 1.7132,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.2907,                0.88962,                 1.2433,                0.58149,                0.40884,                0.44586,                 0.2024,                 1.9927,                 1.3951,                 1.5304,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.2614,                0.87301,                 1.2314,                0.59285,                0.43646,                0.46338,                0.17794,                 2.1951,                 1.4231,                 1.6857,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.2535,                0.87584,                 1.2204,                0.37101,                0.34377,                0.30756,                0.12473,                 2.2682,                  1.819,                 1.7901,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.2587,                0.86573,                 1.2244,                0.40484,                0.27256,                0.26798,                0.11125,                 2.3155,                 2.3947,                 1.7764,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.2561,                0.88624,                  1.224,                0.65992,                0.42525,                0.50024,                0.21444,                 2.0555,                 1.4283,                 1.5497,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.2862,                0.87836,                 1.2366,                0.51489,                0.40025,                0.39615,                0.15804,                 2.2117,                 1.6025,                 1.7153,               0.001901,               0.001901,               0.001901
                     33,                 1.2444,                 0.8529,                 1.2061,                 0.5734,                0.44936,                0.49376,                0.20786,                 2.0994,                 1.4058,                 1.6025,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.2469,                0.83884,                  1.207,                0.60196,                0.44997,                0.49095,                0.21526,                 2.0748,                 1.2952,                 1.6035,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.1914,                 0.8181,                 1.1829,                 0.3815,                0.38306,                0.33033,                0.13579,                 2.2441,                  1.691,                 1.7419,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.1996,                0.81496,                 1.1906,                0.62194,                0.41203,                0.47797,                0.19981,                 2.1155,                 1.3942,                 1.6253,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.1509,                 0.8037,                 1.1744,                 0.6603,                0.45702,                0.49842,                0.20482,                 2.1695,                  1.323,                 1.6622,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.1787,                0.79608,                 1.1778,                0.45502,                0.36341,                0.35612,                0.16203,                 1.9933,                 1.7727,                 1.5801,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.2262,                0.80357,                 1.2124,                0.39182,                0.34131,                0.26341,                0.09363,                 2.3601,                 2.1223,                 1.8416,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.1998,                 0.8091,                 1.1946,                0.61232,                 0.4469,                0.48775,                0.16981,                 2.3687,                 1.4588,                 1.7373,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.1189,                0.77762,                 1.1651,                0.53475,                0.45611,                0.45908,                0.20317,                  2.032,                 1.4535,                 1.5912,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.1335,                0.76272,                 1.1607,                0.52568,                0.40086,                0.39914,                0.17153,                 2.1385,                 1.4837,                  1.696,               0.001868,               0.001868,               0.001868
                     43,                 1.2011,                0.80217,                 1.1952,                0.54925,                0.39122,                0.39995,                0.13434,                 2.4897,                 1.5713,                 1.8831,              0.0018647,              0.0018647,              0.0018647
                     44,                  1.127,                0.75648,                 1.1566,                0.30021,                0.33947,                 0.2281,                0.09282,                 2.2713,                 2.2315,                 1.8099,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.1247,                0.74509,                 1.1601,                0.61741,                0.46532,                0.51161,                0.21133,                 2.1542,                 1.2808,                 1.6561,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.1455,                0.78494,                 1.1667,                0.44535,                0.36672,                0.34704,                0.10849,                 2.6747,                 1.7215,                 2.0457,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.1789,                 0.7848,                  1.184,                 0.4813,                0.38367,                0.37234,                0.09895,                 2.7638,                 1.6475,                 2.0789,              0.0018515,              0.0018515,              0.0018515
                     48,                 1.1447,                 0.7656,                 1.1638,                0.60485,                0.45979,                0.51148,                    0.2,                 2.2362,                 1.3384,                 1.6796,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.1144,                0.72092,                 1.1321,                0.71547,                0.45856,                0.54146,                0.22938,                  2.056,                 1.2381,                 1.5858,              0.0018449,              0.0018449,              0.0018449
                     50,                  1.124,                0.73851,                 1.1558,                0.58946,                0.43892,                0.45026,                 0.1568,                 2.3551,                 1.5222,                 1.8118,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.0779,                0.71827,                 1.1298,                0.50298,                0.41375,                0.40344,                0.17928,                 2.1142,                 1.6456,                 1.6592,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.1015,                 0.7299,                 1.1354,                 0.6515,                 0.4579,                0.51301,                0.22191,                 2.0116,                 1.3202,                 1.5256,               0.001835,               0.001835,               0.001835
                     53,                 1.1112,                0.72665,                 1.1428,                0.58674,                0.48066,                0.49529,                0.22082,                  2.052,                  1.375,                 1.5683,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.0973,                0.71063,                 1.1356,                0.49966,                0.34929,                0.35455,                0.12095,                 2.4496,                 1.7572,                 1.8522,              0.0018284,              0.0018284,              0.0018284
