                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8949,                 4.6273,                 2.4139,                0.00168,                0.09945,                0.00093,                0.00025,                    4.2,                 6.8237,                 3.4525,                0.00054,                0.00054,                0.00054
                      2,                 2.2942,                 2.3907,                 1.9607,                0.00838,                0.03745,                0.00166,                0.00054,                 4.0453,                 14.731,                 3.8497,              0.0010982,              0.0010982,              0.0010982
                      3,                 2.2787,                 2.2621,                 1.9727,                0.00137,                0.08042,                0.00077,                0.00027,                 4.1662,                 5.1801,                 3.9503,              0.0016545,              0.0016545,              0.0016545
                      4,                 2.2667,                 2.2823,                 2.0045,                0.01923,                0.01044,                0.00127,                0.00035,                 3.9459,                  6.401,                 3.3372,              0.0019901,              0.0019901,              0.0019901
                      5,                 2.2022,                 2.1983,                 1.9636,                0.00204,                0.12032,                0.00145,                0.00039,                 4.1397,                 4.9972,                 3.7098,              0.0019901,              0.0019901,              0.0019901
                      6,                 2.2624,                 2.1812,                 1.9451,                  5e-05,                0.00123,                  2e-05,                  1e-05,                  5.803,                 9.4268,                 14.401,              0.0019868,              0.0019868,              0.0019868
                      7,                 2.1915,                 2.1401,                 1.9178,                0.00049,                0.02394,                0.00025,                  6e-05,                  4.771,                 7.1681,                 3.6725,              0.0019835,              0.0019835,              0.0019835
                      8,                 2.1847,                 2.0547,                 1.8874,                0.00049,                0.02394,                0.00025,                  6e-05,                 4.4984,                  8.381,                 3.6051,              0.0019802,              0.0019802,              0.0019802
                      9,                 2.0844,                 1.9637,                 1.8352,                0.00051,                0.03008,                0.00027,                  8e-05,                 4.2407,                 4.3999,                 2.9981,              0.0019769,              0.0019769,              0.0019769
                     10,                 2.0993,                 2.0068,                 1.8321,                0.00753,                0.01657,                0.00593,                0.00085,                 3.8931,                 4.4799,                 3.4985,              0.0019736,              0.0019736,              0.0019736
                     11,                 2.0672,                 1.9895,                 1.7922,                0.00026,                0.00798,                0.00013,                  3e-05,                 4.2919,                 6.3309,                 3.5715,              0.0019703,              0.0019703,              0.0019703
                     12,                 2.0581,                 1.9294,                 1.8001,                0.00343,                0.00798,                0.00049,                0.00015,                 5.0454,                  6.959,                 4.2852,               0.001967,               0.001967,               0.001967
                     13,                 2.0153,                 1.8951,                 1.7669,                0.00463,                0.02947,                0.00065,                0.00019,                 3.9009,                 7.2552,                 3.3835,              0.0019637,              0.0019637,              0.0019637
                     14,                 2.0359,                 1.8698,                 1.7736,                 0.0002,                0.00307,                 0.0002,                  9e-05,                 4.0848,                 5.6581,                 2.9872,              0.0019604,              0.0019604,              0.0019604
                     15,                   2.02,                  1.881,                 1.7725,                  4e-05,                0.00123,                  2e-05,                  1e-05,                 4.5379,                 6.2163,                 3.2212,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.9399,                 1.8351,                 1.7389,                0.00776,                0.05218,                0.00558,                 0.0018,                 3.5926,                 5.8047,                 3.2608,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.9651,                 1.8203,                 1.7113,                 0.0019,                0.03254,                0.00615,                0.00239,                 3.6802,                 5.4452,                 2.8009,              0.0019505,              0.0019505,              0.0019505
                     18,                   1.96,                 1.8047,                 1.7192,                 0.0019,                0.03254,                0.00615,                0.00239,                 4.3028,                 6.6348,                 3.3382,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.9085,                 1.7881,                 1.7049,                0.01539,                0.03622,                0.00912,                0.00337,                 4.2057,                 5.6329,                 3.4599,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.9043,                 1.7233,                 1.6768,                0.01949,                0.04113,                 0.0109,                0.00369,                 3.5871,                 5.3211,                  2.838,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.8836,                 1.7265,                 1.6616,                0.01537,                0.03683,                0.00909,                0.00331,                  4.406,                 6.3025,                  3.863,              0.0019373,              0.0019373,              0.0019373
                     22,                  1.888,                 1.7018,                 1.6743,                0.02553,                0.01473,                0.01368,                0.00468,                 3.7172,                 6.5466,                 3.0998,               0.001934,               0.001934,               0.001934
                     23,                 1.9024,                 1.7192,                 1.6755,                0.00241,                 0.0485,                0.00138,                0.00046,                 3.6971,                 5.8394,                 2.9596,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.8724,                 1.6946,                 1.6517,                0.00104,                0.06139,                0.00067,                0.00021,                 4.2789,                 3.8454,                 2.9144,              0.0019274,              0.0019274,              0.0019274
                     25,                  1.854,                 1.6952,                 1.6634,                 0.0006,                0.00246,                 0.0003,                0.00012,                 4.5284,                 5.5506,                 4.7908,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.8253,                 1.6188,                  1.615,                0.02012,                0.02885,                0.01097,                0.00365,                 3.7336,                 5.3028,                 3.2165,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.8054,                 1.6387,                 1.6229,                0.00714,                0.00859,                0.00364,                0.00137,                 4.1269,                 5.9501,                 3.4514,              0.0019175,              0.0019175,              0.0019175
                     28,                  1.842,                 1.6321,                 1.6456,                0.00299,                0.00123,                0.00153,                0.00038,                 4.1541,                 7.0332,                 3.9326,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.7823,                 1.5798,                 1.5968,                0.00935,                0.00307,                0.00469,                 0.0015,                 3.7807,                 6.4584,                 3.0284,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.8292,                 1.6476,                 1.6379,                0.01426,                 0.0221,                 0.0075,                0.00291,                 3.8916,                 5.9549,                 3.4797,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.8029,                 1.6127,                 1.6306,                0.00063,                0.00061,                0.00032,                0.00013,                 4.1439,                 6.0819,                  3.199,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.7895,                 1.5749,                 1.5914,                0.01019,                0.03683,                0.00561,                0.00188,                 3.6459,                 6.8783,                 3.1006,               0.001901,               0.001901,               0.001901
                     33,                 1.7822,                 1.5558,                 1.5786,                 0.0089,                0.01657,                0.00464,                0.00137,                 3.6942,                 6.1082,                 2.8614,              0.0018977,              0.0018977,              0.0018977
                     34,                  1.766,                 1.5715,                 1.5939,                  1e-05,                0.00061,                  1e-05,                      0,                 4.5526,                 5.1578,                 3.0115,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.7442,                 1.5502,                 1.5753,                0.00036,                0.00123,                0.00018,                  2e-05,                  5.565,                 5.4272,                  5.258,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.7717,                 1.5723,                 1.5904,                0.01104,                0.04113,                0.00687,                0.00259,                   3.96,                 6.5487,                 4.1546,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.7451,                 1.5166,                 1.5422,                0.00362,                0.04727,                0.00202,                 0.0005,                  4.882,                 5.4197,                 5.0951,              0.0018845,              0.0018845,              0.0018845
                     38,                  1.704,                 1.4886,                 1.5447,                0.00097,                0.01044,                 0.0005,                0.00013,                 4.5673,                 6.8263,                 3.5855,              0.0018812,              0.0018812,              0.0018812
                     39,                   1.73,                 1.5093,                 1.5586,                0.01129,                0.02026,                0.00628,                0.00217,                 3.3289,                  5.467,                 3.0232,              0.0018779,              0.0018779,              0.0018779
