                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.892,                 2.3027,                 1.5905,                0.33474,                0.22161,                0.19037,                0.05976,                 2.7835,                 2.2634,                 2.2027,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.7141,                 1.4242,                 1.4877,                0.22048,                0.28975,                0.19237,                0.06345,                 2.4924,                   3.17,                 2.1178,              0.0013136,              0.0013136,              0.0013136
                      3,                  1.729,                 1.4432,                 1.5494,                0.00451,                0.16575,                0.00247,                0.00074,                  3.892,                    inf,                 6.1085,              0.0019759,              0.0019759,              0.0019759
                      4,                 1.7119,                 1.4027,                 1.5211,                0.13206,                0.18478,                  0.059,                0.01678,                 3.2087,                 4.8937,                 2.4135,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.6793,                 1.3438,                 1.4905,                0.04141,                0.02762,                0.00713,                0.00203,                 2.9112,                 8.6472,                 2.5554,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.6324,                 1.2825,                 1.4649,                0.21442,                0.21793,                0.13262,                0.04277,                 2.7456,                 2.5045,                 2.1116,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.6447,                 1.2577,                 1.4735,                0.34421,                0.38613,                0.29453,                0.12319,                 2.1773,                 1.7483,                 1.6266,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.5697,                 1.2066,                 1.4211,                0.34317,                0.31062,                0.27226,                0.11247,                 2.3176,                 2.0328,                 1.7471,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.5746,                 1.1947,                 1.4091,                0.34047,                 0.3186,                0.22121,                0.07241,                  2.542,                 2.0752,                 1.9534,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.5318,                 1.1417,                 1.3752,                0.40099,                0.29405,                0.25437,                0.08607,                 2.6233,                 1.9853,                 1.9552,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.4968,                  1.118,                  1.366,                0.34628,                0.27932,                0.25517,                0.09845,                 2.3333,                 2.0961,                 1.8444,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.4959,                 1.1526,                 1.3743,                0.46237,                0.38698,                0.36842,                0.14791,                 2.2307,                 1.6521,                 1.6722,               0.001967,               0.001967,               0.001967
                     13,                 1.4796,                 1.1256,                 1.3825,                 0.3502,                0.29405,                0.25592,                0.08735,                 2.2939,                 1.9493,                 1.7635,              0.0019637,              0.0019637,              0.0019637
                     14,                  1.432,                 1.0531,                 1.3161,                0.35596,                0.21424,                0.18854,                0.07759,                 2.3581,                 3.5898,                 1.9446,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.3971,                  1.034,                 1.3188,                0.38479,                0.37385,                0.34092,                 0.1439,                 2.1665,                 1.7844,                 1.6729,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.4151,                 1.0163,                 1.3088,                0.22577,                0.25292,                 0.1381,                0.03679,                 3.0119,                 2.1735,                 2.3028,              0.0019538,              0.0019538,              0.0019538
                     17,                  1.432,                 1.0287,                 1.3314,                0.08865,                0.16882,                0.05034,                0.01477,                 3.1797,                 2.7418,                 2.3014,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.3916,                 1.0086,                 1.3137,                0.33379,                0.27317,                0.21179,                0.06644,                 2.6418,                 2.0467,                 2.1565,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.3863,                0.99069,                  1.312,                0.55828,                0.40577,                0.43891,                0.17462,                  2.113,                  1.551,                 1.6041,              0.0019439,              0.0019439,              0.0019439
                     20,                 1.3756,                 1.0053,                 1.3075,                0.34679,                0.27747,                0.24164,                0.07176,                 2.6327,                  2.746,                 2.0144,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.3352,                0.96211,                 1.2741,                0.25878,                0.31983,                0.19164,                0.06427,                 2.4506,                 2.0031,                 1.8119,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.3354,                0.96149,                 1.2828,                0.46784,                0.35114,                0.37702,                0.15639,                 2.2232,                 1.5877,                 1.6768,               0.001934,               0.001934,               0.001934
                     23,                 1.3057,                0.95358,                 1.2562,                0.45944,                0.32474,                0.33478,                0.13676,                 2.2342,                 1.7273,                 1.7392,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.3235,                0.94382,                 1.2711,                 0.3087,                0.12769,                0.13378,                0.04746,                 2.8587,                 3.5838,                 2.1648,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.2962,                0.92629,                 1.2764,                0.50432,                0.37446,                0.38717,                0.14631,                 2.3155,                 1.6076,                 1.7961,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.2926,                0.91065,                  1.263,                0.41051,                0.37324,                0.33346,                0.14591,                 2.1557,                 1.7443,                 1.6607,              0.0019208,              0.0019208,              0.0019208
                     27,                  1.288,                 0.9184,                 1.2485,                0.34042,                0.38613,                0.30045,                 0.1287,                  2.098,                  1.858,                 1.5754,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.2508,                 0.8734,                 1.2184,                 0.6052,                0.40638,                0.47359,                0.21162,                 2.0472,                 1.4183,                  1.488,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.3298,                0.93013,                 1.2983,                0.19047,                0.22038,                0.13284,                0.04431,                 2.8716,                 2.6504,                 2.0081,              0.0019109,              0.0019109,              0.0019109
                     30,                  1.277,                0.88974,                 1.2444,                0.48806,                0.39472,                0.38885,                0.17652,                 2.0778,                 1.5791,                 1.5864,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.2531,                0.86239,                 1.2303,                0.47214,                0.42234,                0.40418,                0.16884,                 2.1486,                  1.486,                 1.6442,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.2437,                0.86519,                 1.2215,                 0.4349,                0.37999,                0.34621,                0.13703,                 2.2313,                  1.638,                 1.6792,               0.001901,               0.001901,               0.001901
                     33,                 1.2244,                0.86882,                  1.212,                0.43151,                0.35421,                0.33645,                0.12591,                 2.3374,                  1.766,                 1.8107,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.1997,                0.83427,                 1.2077,                0.42108,                0.25721,                0.26332,                0.11043,                 2.4391,                 1.7668,                 1.7832,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.2459,                0.85118,                 1.2264,                0.19401,                 0.1283,                0.08301,                0.02218,                 3.3001,                 2.5417,                 2.3416,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.2545,                0.84525,                 1.2261,                0.41105,                0.35789,                0.35775,                0.14975,                 2.2264,                 1.5672,                 1.6258,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.1854,                0.80782,                 1.1897,                0.36986,                0.33947,                0.29641,                0.12644,                 2.2286,                  1.809,                 1.6897,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.1648,                 0.8143,                 1.1889,                0.54381,                0.34991,                0.41813,                0.17604,                 2.1533,                 1.4603,                 1.6476,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.1953,                0.82053,                  1.198,                0.65928,                0.48557,                 0.5445,                0.26665,                 1.8547,                 1.2326,                 1.4835,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.2385,                0.82448,                  1.225,                0.64618,                0.45856,                0.51504,                0.23167,                 1.9931,                 1.3061,                 1.5516,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.2123,                0.81796,                 1.1993,                 0.3118,                0.37569,                0.23649,                0.09097,                 2.3012,                 2.0355,                 1.7254,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.1635,                0.77405,                 1.1797,                0.37757,                0.27379,                0.24661,                0.08185,                 2.6562,                 1.7813,                 1.9794,               0.001868,               0.001868,               0.001868
                     43,                 1.1693,                0.78211,                  1.186,                0.52985,                0.42173,                0.44584,                0.19025,                 2.1231,                 1.4122,                 1.6642,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.1667,                0.78503,                 1.1826,                0.49955,                0.40577,                0.40026,                0.16896,                 2.1841,                  1.561,                 1.6786,              0.0018614,              0.0018614,              0.0018614
                     45,                  1.164,                0.77375,                 1.1741,                0.13569,                0.32597,                0.11798,                0.04526,                 2.4607,                 2.7242,                 1.9072,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.1422,                0.76841,                 1.1689,                0.52755,                0.41007,                0.45855,                0.19805,                 2.1587,                  1.384,                 1.6251,              0.0018548,              0.0018548,              0.0018548
                     47,                  1.158,                0.77307,                 1.1709,                0.60326,                0.45549,                0.50118,                0.20572,                 2.2024,                 1.2645,                 1.6493,              0.0018515,              0.0018515,              0.0018515
                     48,                  1.155,                0.77239,                 1.1703,                0.47335,                0.32535,                0.35861,                 0.1462,                 2.2762,                  1.612,                 1.7049,              0.0018482,              0.0018482,              0.0018482
