                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1456,                 1.7423,                 1.1585,                0.38674,                0.41805,                 0.3215,                0.13497,                 1.7879,                 2.6197,                 1.5078,                0.00062,                0.00062,                0.00062
                      2,                 1.1986,                 1.0708,                 1.1656,                0.12302,                0.24985,                0.08818,                0.03741,                 1.9628,                 3.2316,                 1.6693,              0.0012579,              0.0012579,              0.0012579
                      3,                 1.2579,                  1.114,                 1.2187,                0.04783,                0.11664,                0.01494,                0.00512,                 2.6442,                  19.87,                 2.5148,              0.0018937,              0.0018937,              0.0018937
                      4,                 1.3053,                 1.1128,                 1.2348,                0.04681,                0.05095,                0.00872,                0.00314,                 3.0814,                 12.261,                 3.1325,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.2511,                 1.0109,                 1.2106,                0.32186,                0.36219,                0.24126,                0.11583,                 1.9025,                 2.3314,                 1.6225,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.2294,                0.95934,                 1.2024,                0.46533,                0.38981,                0.37633,                0.18752,                 1.7786,                 1.7158,                 1.4649,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.1893,                0.94453,                 1.1989,                0.40451,                  0.345,                0.31928,                0.16723,                 1.7784,                 2.0619,                 1.5289,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.1416,                 0.8765,                 1.1707,                0.48148,                0.41252,                0.42056,                0.22295,                 1.7075,                 1.6411,                 1.5059,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.1273,                0.85385,                 1.1339,                0.31345,                0.33456,                0.29852,                0.15412,                 1.8292,                 2.0501,                 1.5904,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.1344,                0.88124,                 1.1546,                0.53829,                0.49478,                0.49922,                 0.2717,                 1.6073,                  1.468,                 1.4022,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.0854,                0.84736,                 1.1287,                0.50954,                0.44997,                0.44544,                0.24097,                 1.6789,                 1.4726,                 1.4255,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.0732,                0.83784,                 1.1231,                0.52716,                0.44567,                0.46862,                0.24337,                 1.6114,                 1.4065,                 1.3685,               0.001967,               0.001967,               0.001967
                     13,                 1.0573,                0.82394,                 1.1095,                0.50109,                0.44322,                0.45531,                0.23609,                 1.7033,                 1.5772,                 1.4881,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.0404,                0.80406,                  1.091,                0.49636,                0.46163,                0.43401,                0.23317,                 1.6572,                 1.5467,                 1.4516,              0.0019604,              0.0019604,              0.0019604
