                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8203,                 2.0484,                 1.5211,                0.48922,                0.37753,                0.36066,                0.13524,                 2.3811,                 1.8431,                 1.7485,             0.00065556,             0.00065556,             0.00065556
                      2,                 1.7634,                 1.4706,                 1.5069,                 0.1322,                0.16001,                0.06847,                0.02231,                 2.6918,                 5.4578,                 2.2617,                0.00132,                0.00132,                0.00132
                      3,                 1.7453,                 1.4396,                  1.524,                0.12317,                0.13444,                0.05192,                0.01288,                 3.1901,                 3.0484,                 2.2121,              0.0019823,              0.0019823,              0.0019823
                      4,                 1.7509,                 1.4086,                 1.5346,                0.33035,                 0.3522,                0.23082,                0.08041,                 2.3472,                 3.4498,                 1.8669,              0.0019901,              0.0019901,              0.0019901
                      5,                   1.69,                 1.4042,                  1.507,                0.37055,                0.39472,                0.33028,                0.14193,                 2.1506,                 1.7871,                 1.6407,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.6775,                  1.296,                 1.4676,                0.02302,                0.00246,                0.00177,                0.00084,                 4.5015,                  6.538,                 3.7548,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.6351,                 1.2896,                 1.4568,                0.13667,                0.21301,                0.08916,                0.02459,                 2.9398,                 2.6301,                 2.1322,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.5792,                 1.2242,                 1.4297,                0.25708,                0.19521,                0.14895,                0.06362,                 2.4743,                 2.8315,                 1.9652,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.5995,                 1.2033,                 1.4337,                0.28693,                0.32351,                0.22532,                 0.0706,                 2.4634,                 1.9712,                 1.8088,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.5289,                 1.1684,                 1.3969,                0.37747,                0.37817,                0.27264,                 0.0907,                 2.3574,                 1.9018,                 1.7252,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.5173,                 1.1483,                 1.3863,                0.35618,                0.27882,                0.27681,                0.10025,                 2.3799,                 1.9398,                 1.7737,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.5072,                 1.1318,                 1.3777,                0.24299,                0.27993,                0.18814,                0.05965,                 2.4418,                 2.3196,                 1.7503,               0.001967,               0.001967,               0.001967
                     13,                  1.449,                 1.0861,                  1.354,                0.31788,                0.28177,                0.22559,                0.07354,                 2.4137,                 2.0185,                 1.7943,              0.0019637,              0.0019637,              0.0019637
