epoch;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;1,7156;2,2828;1,5081;0,48425;0,46106;0,42839;0,14286;1,9552;1,8834;1,4257;0,00064957;0,00064957;0,00064957
2;1,4638;1,2766;1,3396;0,05867;0,13333;0,02685;0,0094;2,5349;5,5147;1,9573;0,0013141;0,0013141;0,0013141
3;1,521;1,2886;1,4217;0,04124;0,29657;0,02837;0,00965;2,2656;19,514;1,9776;0,0019764;0,0019764;0,0019764
4;1,5021;1,2011;1,4142;0,37561;0,45919;0,2953;0,12348;1,7732;5,4334;1,5422;0,0019901;0,0019901;0,0019901
5;1,4683;1,245;1,4091;0,4566;0,43115;0,39478;0,16471;1,8548;3,377;1,5619;0,0019901;0,0019901;0,0019901
6;1,4051;1,118;1,365;0,5261;0,51402;0,47932;0,22866;1,6793;1,9187;1,4131;0,0019868;0,0019868;0,0019868
7;1,4193;1,1285;1,3828;0,46602;0,45109;0,43314;0,23222;1,5019;1,8174;1,2548;0,0019835;0,0019835;0,0019835
8;1,4257;1,087;1,3756;0,25563;0,31277;0,21887;0,09599;1,7852;2,6409;1,4672;0,0019802;0,0019802;0,0019802
9;1,3483;1,0357;1,3305;0,59359;0,57241;0,57205;0,28638;1,4859;1,2582;1,2912;0,0019769;0,0019769;0,0019769
10;1,315;0,99436;1,3172;0,64491;0,59377;0,61762;0,24084;1,8577;1,1514;1,4104;0,0019736;0,0019736;0,0019736
11;1,2655;0,97143;1,2804;0,64007;0,57757;0,62543;0,31629;1,4847;1,0722;1,2469;0,0019703;0,0019703;0,0019703
12;1,2489;0,96249;1,2704;0,51844;0,47726;0,4765;0,22646;1,6092;1,4139;1,3156;0,001967;0,001967;0,001967
13;1,2997;0,9829;1,2965;0,54573;0,4729;0,47275;0,13809;2,2259;2,0378;1,66;0,0019637;0,0019637;0,0019637
14;1,2427;0,94858;1,2686;0,61388;0,62604;0,61478;0,33199;1,3706;1,1437;1,1801;0,0019604;0,0019604;0,0019604
15;1,2188;0,92009;1,2482;0,51806;0,4541;0,45352;0,2136;1,6516;1,4829;1,3523;0,0019571;0,0019571;0,0019571
16;1,1843;0,87432;1,2269;0,66207;0,61121;0,61827;0,32777;1,4471;1,1619;1,2042;0,0019538;0,0019538;0,0019538
17;1,2248;0,88387;1,2428;0,62012;0,53396;0,58144;0,28474;1,5776;1,3734;1,2611;0,0019505;0,0019505;0,0019505
18;1,1708;0,83855;1,2074;0,62485;0,63408;0,64579;0,28601;1,6587;1,1132;1,2997;0,0019472;0,0019472;0,0019472
19;1,1811;0,86762;1,2318;0,61064;0,50467;0,52888;0,2636;1,5955;3,1897;1,3399;0,0019439;0,0019439;0,0019439
20;1,1781;0,84047;1,2256;0,70946;0,60249;0,65642;0,35088;1,3916;0,97599;1,2174;0,0019406;0,0019406;0,0019406
21;1,1445;0,83057;1,2207;0,60528;0,57802;0,59383;0,31596;1,4397;1,6104;1,2087;0,0019373;0,0019373;0,0019373
22;1,1585;0,83276;1,2197;0,63592;0,59202;0,60875;0,33755;1,3623;1,1239;1,2121;0,001934;0,001934;0,001934
23;1,1396;0,82592;1,1982;0,50226;0,48725;0,47195;0,22675;1,5849;2,2877;1,2844;0,0019307;0,0019307;0,0019307
24;1,1317;0,80047;1,1962;0,60029;0,62617;0,6011;0,33397;1,3419;1,0878;1,1798;0,0019274;0,0019274;0,0019274
25;1,1268;0,81618;1,2029;0,6252;0,60384;0,63712;0,33854;1,3784;1,1724;1,1732;0,0019241;0,0019241;0,0019241
26;1,1424;0,80133;1,2043;0,68044;0,65669;0,67684;0,36822;1,3866;0,9873;1,1457;0,0019208;0,0019208;0,0019208
27;1,1242;0,80816;1,1996;0,45489;0,43727;0,41726;0,21508;1,5609;2,6255;1,3102;0,0019175;0,0019175;0,0019175
28;1,132;0,80581;1,2001;0,68086;0,58006;0,63652;0,34756;1,4174;1,0052;1,1845;0,0019142;0,0019142;0,0019142
