                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8238,                 1.9522,                 1.5309,                0.32318,                0.26888,                0.21843,                0.07841,                 2.3356,                 2.1199,                 1.7389,             0.00066239,             0.00066239,             0.00066239
                      2,                 1.7819,                 1.4668,                 1.5397,                0.37832,                0.28541,                0.25845,                0.09042,                 2.3203,                 2.1186,                 1.7481,              0.0013269,              0.0013269,              0.0013269
                      3,                 1.8185,                 1.5205,                 1.6194,                0.33483,                0.36832,                0.28023,                0.09318,                 2.3887,                 2.1211,                 1.8364,              0.0019891,              0.0019891,              0.0019891
                      4,                 1.7684,                 1.4524,                 1.5479,                0.36524,                 0.2965,                0.28936,                 0.0926,                 2.3682,                 1.9184,                  1.772,              0.0019901,              0.0019901,              0.0019901
                      5,                 1.7763,                 1.4085,                 1.5691,                 0.3443,                0.34929,                0.30365,                0.09141,                 2.4662,                 1.9519,                 1.8604,              0.0019901,              0.0019901,              0.0019901
                      6,                 1.7335,                 1.3842,                 1.5271,                0.57923,                0.38735,                0.43132,                0.15381,                  2.256,                 1.6194,                 1.6822,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.6719,                 1.3055,                  1.495,                0.25131,                0.32743,                0.22467,                0.08284,                 2.1852,                 2.1906,                 1.7093,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.6797,                 1.2841,                 1.5031,                0.15778,                0.31369,                0.11671,                0.03937,                 2.3076,                 2.5046,                 1.8157,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.6412,                 1.2871,                 1.4783,                0.46338,                0.38797,                0.37041,                0.13193,                  2.253,                 1.6244,                  1.658,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.6309,                 1.2657,                 1.4579,                0.41977,                0.34622,                0.32188,                0.11193,                 2.2683,                 1.9359,                 1.6851,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.6276,                 1.2542,                 1.4586,                0.39512,                 0.3008,                0.27616,                0.09916,                 2.4501,                 2.1705,                 1.8138,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.5893,                 1.2097,                 1.4171,                0.46299,                0.38371,                0.37297,                 0.1295,                 2.3533,                 1.7054,                 1.7467,               0.001967,               0.001967,               0.001967
                     13,                 1.5665,                 1.1881,                 1.4315,                 0.4584,                0.43401,                 0.3931,                0.11951,                 2.3959,                 1.6828,                 1.7873,              0.0019637,              0.0019637,              0.0019637
                     14,                  1.562,                 1.1873,                  1.412,                0.30916,                0.32965,                0.23888,                0.08519,                 2.2544,                 2.4876,                 1.7153,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.5368,                 1.2029,                 1.4154,                0.48298,                0.37324,                0.36514,                0.13165,                 2.2747,                 1.6555,                 1.7125,              0.0019571,              0.0019571,              0.0019571
                     16,                  1.513,                 1.1607,                 1.3829,                0.58057,                0.39963,                  0.413,                0.14415,                  2.245,                  1.564,                 1.6785,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.4993,                  1.133,                 1.3839,                0.39168,                0.32767,                0.31918,                0.10261,                 2.4585,                   1.85,                 1.8471,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.4965,                  1.114,                 1.3863,                0.47297,                0.33211,                0.34418,                0.11785,                 2.3644,                 1.7811,                 1.7404,              0.0019472,              0.0019472,              0.0019472
